customer_id,first_name,last_name,email,country,city,registered_at
1,Lori,Woodard,michaelmayer@example.net,Dominican Republic,Lake Julieview,2026-07-05 19:59:33.088835
2,Nathan,Miller,zbutler@example.org,Saint Kitts and Nevis,Landryborough,2026-06-13 21:06:09.027350
3,Kenneth,Phillips,jacobclayton@example.com,Gambia,New Marybury,2025-03-21 16:16:20.973521
4,Tonya,Collins,franciscoarroyo@example.org,Liechtenstein,West Kariside,2025-07-10 02:02:14.177349
5,Carol,Rose,sarah86@example.com,Morocco,East Angelamouth,2025-09-26 16:52:30.775189
6,Tracy,Sanchez,alan51@example.net,Lebanon,Ericside,2026-03-11 11:33:59.933877
7,Leslie,Blevins,zachary82@example.org,Oman,Phamstad,2025-11-16 18:10:50.667786
8,Pamela,Murphy,courtney51@example.net,Switzerland,Jenniferburgh,2025-10-03 16:39:16.433725
9,Kayla,Cole,moraleswendy@example.net,Saint Barthelemy,Kristinefurt,2025-11-26 02:00:13.146464
10,Luke,Whitney,edwardsdanielle@example.com,Somalia,Hayeschester,2026-03-07 21:06:01.226476
11,Lauren,Lawrence,omorris@example.net,Solomon Islands,Port Danielbury,2025-04-29 14:19:46.552466
12,Erin,Wilkins,frank60@example.net,Portugal,Josephstad,2026-02-22 00:15:49.544252
13,Nicholas,Duncan,crystal76@example.net,Iraq,Morrisborough,2026-04-12 21:29:35.258180
14,Troy,Davis,antoniohoward@example.org,Mayotte,South Jasonborough,2025-06-12 07:55:12.189007
15,Curtis,Sutton,ericasmith@example.org,Philippines,New Marcusville,2024-08-12 11:51:06.316440
16,Matthew,Robinson,ryanbyrd@example.net,Liechtenstein,New Sheenatown,2026-06-30 19:09:44.240764
17,Jessica,Barnes,robertsnicole@example.com,Malawi,East Alyssa,2025-06-16 06:36:15.071785
18,Jose,Orr,warrenjames@example.org,Albania,Youngport,2025-04-15 01:39:47.573532
19,Alyssa,Flores,bdavis@example.net,Poland,Veronicatown,2025-07-20 20:09:31.480697
20,Christopher,Landry,qboyd@example.com,Colombia,Smithfort,2025-10-12 08:18:01.873584
21,Arthur,Moore,matthewsangelica@example.com,Kenya,Schaeferfurt,2026-01-14 15:14:27.657094
22,Jessica,Smith,lromero@example.org,Cambodia,Sarahburgh,2025-01-31 02:55:30.292725
23,Daniel,Walker,pjackson@example.net,Gabon,Lake Jodihaven,2026-01-31 13:21:09.785782
24,Jacqueline,Harris,markhunt@example.net,Cuba,Stephaniefurt,2026-03-26 05:54:44.341880
25,Raven,Mccarthy,gordonjohn@example.org,Australia,Port Ashley,2025-04-07 14:30:00.599180
26,Brian,Gilbert,jessica68@example.org,Albania,Lake Katherinemouth,2025-02-02 07:58:09.811774
27,Donald,Carrillo,lcortez@example.net,Equatorial Guinea,Crystalton,2026-03-20 03:58:39.932466
28,Lindsey,Rodriguez,vaughnandrea@example.net,Isle of Man,Lake Heidimouth,2025-12-07 22:25:31.023683
29,Jose,Mahoney,chunt@example.com,Samoa,Donaldberg,2025-11-05 08:43:16.688757
30,Christopher,Cunningham,tylerdavid@example.net,Australia,Stevenchester,2026-01-29 13:18:16.854797
31,Stephen,Anderson,juliamoore@example.com,Cayman Islands,Curtisstad,2026-07-09 16:55:02.255007
32,Brittany,Rodriguez,carlos55@example.net,Pakistan,West Johnfort,2026-05-05 16:47:00.551644
33,Lisa,Beck,suzannesolis@example.org,Congo,New Jacob,2026-07-16 19:49:03.856474
34,Richard,Jenkins,iedwards@example.org,United Kingdom,Summerfort,2026-06-22 15:07:21.174814
35,Casey,Collier,peter66@example.org,Saint Helena,Port Benjamin,2026-05-08 17:12:59.870836
36,Angela,Hebert,freymichael@example.net,Bosnia and Herzegovina,Millerhaven,2025-05-01 17:32:11.089063
37,Gregory,Brock,andersonaaron@example.org,Cape Verde,New Kellie,2026-02-08 22:01:25.422380
38,Shawn,Santos,jason34@example.net,Oman,Nicholsonmouth,2025-11-11 19:12:20.777418
39,Thomas,Davis,bfrank@example.com,China,New Stephaniemouth,2024-10-28 03:01:58.308723
40,Heidi,Washington,kevinshepard@example.org,Timor-Leste,Port Albertfurt,2024-10-07 12:03:59.102059
41,Joseph,Ramsey,ldiaz@example.net,Bahrain,Juanchester,2025-09-30 13:06:08.661630
42,Rachel,Harris,jmurphy@example.com,Tokelau,New Patty,2026-01-27 22:34:52.653719
43,Christopher,Davis,brian21@example.com,Guadeloupe,Port Josephton,2024-10-02 01:24:06.334891
44,John,Griffith,branchkaitlyn@example.com,Isle of Man,Port Timothyton,2025-12-06 17:37:43.761479
45,Michael,West,washingtongregory@example.net,Belize,North Ralph,2024-10-02 02:13:36.973555
46,Lindsay,Tucker,ibuck@example.net,Guam,Summersburgh,2025-08-12 00:07:31.121557
47,Michele,Evans,jameswalter@example.org,Saint Vincent and the Grenadines,New Brent,2026-06-05 07:24:11.787655
